City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
178,Yulara,AU,2020-04-04 19:28:21,-25.24,130.99,57.2,41,35,6.93,scattered clouds,0.0,0.0
179,Dingle,PH,2020-04-04 19:28:21,11.0,122.67,77.49,81,2,9.6,light rain,0.005118110236220473,0.0
180,Saint-Francois,FR,2020-04-04 19:28:22,46.42,3.91,53.6,50,9,8.05,clear sky,0.0,0.0
181,El Alto,PE,2020-04-04 19:28:22,-4.27,-81.21,62.6,100,49,10.29,scattered clouds,0.0,0.0
182,Provideniya,RU,2020-04-04 19:25:32,64.38,-173.3,15.33,94,100,16.31,snow,0.0,0.06929133858267716
183,Saint Anthony,US,2020-04-04 19:28:23,45.02,-93.22,42.01,35,1,3.36,clear sky,0.0,0.0
184,Marathon,US,2020-04-04 19:28:24,44.9,-89.77,44.01,44,1,6.93,clear sky,0.0,0.0
185,Huai Thalaeng,TH,2020-04-04 19:28:24,15.0,102.65,88.07,47,83,5.66,broken clouds,0.0,0.0
186,Puerto Carreno,CO,2020-04-04 19:28:25,6.19,-67.49,84.2,66,75,7.29,thunderstorm,0.0,0.0
187,Nishihara,JP,2020-04-04 19:28:25,26.18,127.76,66.2,77,90,5.82,mist,0.0,0.0
188,Lucea,JM,2020-04-04 19:28:26,18.45,-78.17,84.99,70,20,16.11,few clouds,0.0,0.0
189,Kharp,RU,2020-04-04 19:28:26,66.8,65.81,35.33,88,100,8.95,light rain,0.03622047244094489,0.0
190,Chapais,CA,2020-04-04 19:28:27,49.78,-74.85,46.4,49,1,8.05,clear sky,0.0,0.0
191,Walvis Bay,NA,2020-04-04 19:28:28,-22.96,14.51,62.01,87,0,3.36,clear sky,0.0,0.0
192,Kavieng,PG,2020-04-04 19:28:28,-2.57,150.8,80.28,79,99,5.26,overcast clouds,0.0,0.0
193,Phuket,TH,2020-04-04 19:25:25,8.0,98.25,77.0,94,40,6.42,scattered clouds,0.0,0.0
194,Margate,GB,2020-04-04 19:25:01,51.38,1.39,54.0,87,13,10.29,few clouds,0.0,0.0
195,La Palma,US,2020-04-04 19:28:30,33.85,-118.05,66.99,55,90,4.7,overcast clouds,0.0,0.0
196,Kavaratti,IN,2020-04-04 19:24:08,10.57,72.64,84.04,70,1,6.11,clear sky,0.0,0.0
197,Juneau,US,2020-04-04 19:28:31,58.3,-134.42,35.6,64,20,8.05,few clouds,0.0,0.0
198,Severomuysk,RU,2020-04-04 19:28:32,56.15,113.43,14.32,84,88,6.42,light snow,0.0,0.015748031496062995
199,Schlitz,DE,2020-04-04 19:23:33,50.67,9.56,50.0,49,3,2.24,clear sky,0.0,0.0
200,Cherskiy,RU,2020-04-04 19:28:33,68.75,161.3,-12.01,90,100,4.72,overcast clouds,0.0,0.0
201,Am Timan,TD,2020-04-04 19:28:33,11.03,20.28,92.98,15,97,3.42,overcast clouds,0.0,0.0
202,Labuhan,ID,2020-04-04 19:28:34,-6.88,112.21,77.52,90,93,7.09,light rain,0.10866141732283464,0.0
203,Pascagoula,US,2020-04-04 19:28:35,30.37,-88.56,78.8,44,1,5.82,clear sky,0.0,0.0
204,Taoudenni,ML,2020-04-04 19:28:36,22.68,-3.98,95.05,9,0,8.43,clear sky,0.0,0.0
205,Batsfjord,NO,2020-04-04 19:28:36,70.63,29.72,25.83,90,100,24.58,light snow,0.0,0.022047244094488192
206,Shimanovsk,RU,2020-04-04 19:28:37,52.0,127.7,20.93,87,0,0.49,clear sky,0.0,0.0
207,Comodoro Rivadavia,AR,2020-04-04 19:24:18,-45.87,-67.5,66.2,29,0,17.22,clear sky,0.0,0.0
208,Jamestown,US,2020-04-04 19:28:38,42.1,-79.24,55.99,54,90,5.82,overcast clouds,0.0,0.0
209,Nevel,RU,2020-04-04 19:28:38,56.02,29.93,37.27,70,74,6.11,light snow,0.0,0.01299212598425197
210,Maragogi,BR,2020-04-04 19:26:49,-9.01,-35.22,85.32,71,84,11.48,light rain,0.0452755905511811,0.0
211,Pevek,RU,2020-04-04 19:26:58,69.7,170.31,-4.94,92,100,8.95,light snow,0.0,0.007086614173228346
212,Klaksvik,FO,2020-04-04 19:28:40,62.23,-6.59,39.2,93,100,21.92,light rain,0.030708661417322838,0.0
213,Hobart,AU,2020-04-04 19:28:40,-42.88,147.33,44.6,65,56,4.7,light rain,0.007086614173228346,0.0
214,Tual,ID,2020-04-04 19:28:41,-5.67,132.75,83.32,77,96,10.58,moderate rain,0.1362204724409449,0.0
215,Port Elizabeth,ZA,2020-04-04 19:26:14,-33.92,25.57,73.4,64,4,20.8,clear sky,0.0,0.0
216,Dikson,RU,2020-04-04 19:28:42,73.51,80.55,0.54,94,8,7.29,clear sky,0.0,0.0
217,La Rioja,ES,2020-04-04 19:28:43,42.25,-2.5,57.2,58,11,10.29,few clouds,0.0,0.0
218,Hirara,JP,2020-04-04 19:25:29,24.8,125.28,68.41,83,93,22.68,light rain,0.007874015748031498,0.0
219,Nanortalik,GL,2020-04-04 19:28:44,60.14,-45.24,31.05,89,100,8.5,light snow,0.0,0.005511811023622048
220,Narsaq,GL,2020-04-04 19:28:44,60.92,-46.05,33.8,34,75,18.34,broken clouds,0.0,0.0
221,Zyryanka,RU,2020-04-04 19:28:45,65.75,150.85,-5.89,90,5,6.78,clear sky,0.0,0.0
222,Te Anau,NZ,2020-04-04 19:28:45,-45.42,167.72,50.02,72,56,2.64,broken clouds,0.0,0.0
223,Kidodi,TZ,2020-04-04 19:28:46,-7.6,37.0,72.86,76,3,1.54,clear sky,0.0,0.0
224,Namtsy,RU,2020-04-04 19:28:47,62.72,129.67,26.6,73,40,6.71,scattered clouds,0.0,0.0
225,Nueva Armenia,HN,2020-04-04 19:28:48,15.8,-86.5,86.07,56,10,6.24,clear sky,0.0,0.0
226,Harper,LR,2020-04-04 19:28:48,4.38,-7.72,84.79,72,31,5.99,scattered clouds,0.0,0.0
227,Avarua,CK,2020-04-04 19:28:49,-21.21,-159.78,78.8,94,90,14.99,overcast clouds,0.0,0.0
